"complaint_type","total_complaints"
Public Payphone Complaint,6502
Sustainability Enforcement,6415
Unsanitary Condition,6376
Disorderly Youth,6122
Elder Abuse,6033
Dumpster Complaint,5855
Non-Residential Heat,5759
Sweeping/Missed-Inadequate,5755
Taxi Compliment,5459
Lot Condition,4870
Litter Basket Complaint,4835
CONSTRUCTION,4821
Mold,4474
DRIE,4023
Home Delivered Meal - Missed Delivery,3799
Smoking or Vaping,3757
Ferry Complaint,3753
Mass Gathering Complaint,3652
Found Property,3600
Cranes and Derricks,3596
Posting Advertisement,3587
DOF Property - RPIE Issue,3517
Home Repair,3408
Scaffold Safety,3360
Adopt-A-Basket,3347
Bus Stop Shelter Placement,3222
Mosquitoes,3175
Plant,3073
Senior Center Complaint,3013
Storm,3005
For Hire Vehicle Report,2814
Sewer Maintenance,2771
Beach/Pool/Sauna Complaint,2699
Sweeping/Inadequate,2614
Alzheimer's Care,2611
Drinking Water,2551
City Vehicle Placard Complaint,2393
Water Leak,2250
Collection Truck Noise,2185
Bike Rack Condition,2180
Facades,2162
Illegal Animal Kept as Pet,2066
DOF Property - Property Value,2009
DOF Parking - DMV Clearance,1991
Request Xmas Tree Collection,1986
OEM Disabled Vehicle,1916
Wood Pile Remaining,1849
Face Covering Violation,1797
HEAP Assistance,1687
Paint/Plaster,1676
Harboring Bees/Wasps,1609
Highway Sign - Damaged,1595
General,1582
Quality of Life,1495
Green Taxi Complaint,1463
Heat/Hot Water,1457
LinkNYC,1420
Uprooted Stump,1396
E-Scooter,1391
Utility Program,1301
Poison Ivy,1294
Executive Inspections,1289
Safety,1249
DHS Advantage - Third Party,1242
DOF Property - City Rebate,1198
Weatherization,1157
Private or Charter School Reopening,1134
Forensic Engineering,1111
Special Natural Area District (SNAD),1058
Municipal Parking Facility,1026
Tattooing,1005
Door/Window,938
DEP Street Condition,918
Home Delivered Meal Complaint,896
Seasonal Collection,790
Highway Sign - Missing,775
Advocate-Personal Exemptions,752
AHV Inspection Unit,720
Public Toilet,624
Stalled Sites,611
Flooring/Stairs,527
Eviction,525
DOF Parking - Address Update,489
Advocate-Prop Refunds/Credits,485
Unsanitary Animal Facility,477
Animal Facility - No Permit,446
Ferry Permit,424
Teaching/Learning/Instruction,416
Highway Sign - Dangling,413
Appliance,386
Discipline and Suspension,385
Parking Card,383
Illegal Animal Sold,382
Water Maintenance,368
Taxpayer Advocate Inquiry,351
Pet Shop,341
FATF,333
Special Operations,325
Incorrect Data,313
Lifeguard,288
Bereavement Support Group,282
Advocate - Other,281
Squeegee,272
X-Ray Machine/Equipment,260
Home Care Provider Complaint,257
Case Management Agency Complaint,254
Recycling Basket Complaint,253
ATF,243
Electric,241
Private School Vaccine Mandate Non-Compliance,219
Cooling Tower,200
Overflowing Recycling Baskets,196
Registration and Transfers,190
Institution Disposal Complaint,187
Transportation Provider Complaint,177
FCST,174
Bottled Water,173
Dept of Investigations,167
Health,164
Legal Services Provider Complaint,163
Window Guard,157
Radioactive Material,151
Snow Removal,151
Building Drinking Water Tank,143
Bike Rack,140
DHS Income Savings Requirement,129
Tunnel Condition,129
Calorie Labeling,103
Foam Ban Enforcement,89
Advocate-Co-opCondo Abatement,84
Building Condition,74
DOR Literature Request,67
Parent Leadership,64
Water Drainage,64
Retailer Complaint,51
Unstable Building,50
Dispatched Taxi Complaint,49
Tanning,48
FHV Licensee Complaint,43
Taxi Licensee Complaint,43
Advocate-Property Value,41
Bench,39
ZTESTINT,37
Green Taxi Report,34
Transfer Station Complaint,32
DEP Highway Condition,27
No Child Left Behind,23
Boiler,21
Interior Demo,21
Oil or Gas Spill,20
Internal Code,19
Advocate-Commercial Exemptions,19
DEP Sidewalk Condition,19
Single Occupancy Bathroom,18
Advocate-SCRIE/DRIE,18
SRDE,18
Special Enforcement,17
Trans Fat,16
STRUCTURAL,16
Wayfinding,14
NORC Complaint,13
Advocate - Lien,13
Portable Toilet,13
DSNY Internal,12
Advocate - RPIE,10
Construction Lead Dust,9
AGENCY,9
Advocate-Prop Class Incorrect,9
Advocate-Business Tax,8
Employee Behavior,7
Standpipe - Mechanical,6
Leaning Bar,6
Outside Building,6
DSNY Spillage,6
Building Marshal's Office,6
Advocate-UBT,5
Summer Camp,5
SRGOVG,4
Dispatched Taxi Compliment,4
DOF Property - State Rebate,3
Unlicensed Dog,3
DOB Posted Notice or Order,3
VACANT APARTMENT,3
ZSYSTEST,2
Advocate - Levy,2
Facade Insp Safety Pgm,2
Forms,2
MOLD,2
Request Changes - A.S.P.,1
DOF Literature Request,1
Fire Alarm - Replacement,1
DEP Bridge Condition,1
Change Collection Schedule,1
Trapping Pigeon,1
Asbestos/Garbage Nuisance,1
Illegal Animal - Sold/Kept,1
SG-99,1
Injured Wildlife,1
LEAD,1
MSOTHER,1
Advocate-Foreclosure,1
