"month_year","complaint_type","complaint_count"
"2019-01",HEAT/HOT WATER,47095
"2019-01",Highway Condition,271
"2019-01",Highway Sign - Damaged,6
"2019-01",Highway Sign - Dangling,5
"2019-01",Highway Sign - Missing,3
"2019-01",Home Care Provider Complaint,2
"2019-01",Home Delivered Meal - Missed Delivery,10
"2019-01",Home Delivered Meal Complaint,6
"2019-01",Homeless Encampment,158
"2019-01",Homeless Person Assistance,1037
"2019-01",Housing - Low Income Senior,530
"2019-01",Housing Options,142
"2019-01",HPD Literature Request,258
"2019-01",Illegal Fireworks,4
"2019-01",Illegal Parking,13189
"2019-01",Illegal Tree Damage,161
"2019-01",Indoor Air Quality,393
"2019-01",Indoor Sewage,108
"2019-01",Industrial Waste,96
"2019-01",Investigations and Discipline (IAD),49
"2019-01",Lead,894
"2019-01",Lifeguard,2
"2019-01",LinkNYC,13
"2019-01",Literature Request,17
"2019-01",Litter Basket / Request,186
"2019-01",Maintenance or Facility,495
"2019-01",Miscellaneous Categories,2
"2019-01",Missed Collection (All Materials),4126
"2019-01",Mobile Food Vendor,79
"2019-01",Mold,30
"2019-01",Municipal Parking Facility,3
"2019-01",New Tree Request,454
"2019-01",Noise,4856
"2019-01",Noise - Commercial,3148
"2019-01",Noise - Helicopter,62
"2019-01",Noise - House of Worship,43
"2019-01",Noise - Park,32
"2019-01",Noise - Residential,16176
"2019-01",Noise - Street/Sidewalk,1760
"2019-01",Noise - Vehicle,1782
"2019-01",Non-Emergency Police Matter,486
"2019-01",Non-Residential Heat,387
"2019-01",OEM Literature Request,17
"2019-01",Other Enforcement,559
"2019-01",OUTSIDE BUILDING,65
"2019-01",Overflowing Litter Baskets,54
"2019-01",Overflowing Recycling Baskets,1
"2019-01",Overgrown Tree/Branches,316
"2019-01",PAINT/PLASTER,5426
"2019-01",Panhandling,37
"2019-01",Plant,4
"2019-01",Plumbing,688
"2019-01",PLUMBING,5645
"2019-01",Poison Ivy,1
"2019-01",Posting Advertisement,10
"2019-01",Public Payphone Complaint,32
"2019-01",Public Toilet,6
"2019-01",Quality of Life,39
"2019-01",Recycling Enforcement,66
"2019-01",Request Large Bulky Item Collection,14628
"2019-01",Request Xmas Tree Collection,3
"2019-01",Rodent,2006
"2019-01",Root/Sewer/Sidewalk Condition,409
"2019-01",SAFETY,922
"2019-01",Sanitation Condition,2998
"2019-01",Scaffold Safety,16
"2019-01",School Maintenance,195
"2019-01",SCRIE,412
"2019-01",Senior Center Complaint,23
"2019-01",Sewer,2528
"2019-01",Sidewalk Condition,2060
"2019-01",Smoking,270
"2019-01",Snow,443
"2019-01",Special Natural Area District (SNAD),5
"2019-01",Special Operations,1
"2019-01",Special Projects Inspection Team (SPIT),398
"2019-01",Street Condition,7322
"2019-01",Street Light Condition,4831
"2019-01",Street Sign - Damaged,541
"2019-01",Street Sign - Dangling,272
"2019-01",Street Sign - Missing,466
"2019-01",Sustainability Enforcement,97
"2019-01",Sweeping/Inadequate,27
"2019-01",Sweeping/Missed,58
"2019-01",Tattooing,5
"2019-01",Taxi Complaint,755
"2019-01",Taxi Compliment,25
"2019-01",Taxi Report,125
"2019-01",Taxpayer Advocate Inquiry,9
"2019-01",Traffic,250
"2019-01",Traffic Signal Condition,3675
"2019-01",Transportation Provider Complaint,2
"2019-01",Tunnel Condition,3
"2019-01",Unsanitary Animal Pvt Property,108
"2019-01",UNSANITARY CONDITION,7101
"2019-01",Unsanitary Pigeon Condition,39
"2019-01",Urinating in Public,19
"2019-01",Vacant Lot,109
"2019-01",Vending,189
"2019-01",Violation of Park Rules,56
"2019-01",Water Conservation,492
"2019-01",WATER LEAK,3933
"2019-01",Water Quality,141
"2019-01",Water System,6182
"2019-01",Window Guard,1
"2019-01",X-Ray Machine/Equipment,2
"2019-02",Abandoned Vehicle,2
"2019-02",Adopt-A-Basket,6
"2019-02",Advocate-Business Tax,1
"2019-02",Advocate-Foreclosure,1
"2019-02",Advocate-Personal Exemptions,9
"2019-02",Advocate-Prop Refunds/Credits,40
"2019-02",Advocate - Other,16
"2019-02",Advocate - RPIE,2
"2019-02",Air Quality,503
"2019-02",Alzheimer's Care,16
"2019-02",Animal-Abuse,1
"2019-02",Animal Abuse,654
"2019-02",Animal in a Park,136
"2019-02",APPLIANCE,1064
"2019-02",Asbestos,181
"2019-02",Beach/Pool/Sauna Complaint,19
"2019-02",Benefit Card Replacement,818
"2019-02",BEST/Site Safety,148
"2019-02",Bike Rack Condition,3
"2019-02",Bike/Roller/Skate Chronic,14
"2019-02",Blocked Driveway,9906
"2019-02",Boilers,189
"2019-02",Borough Office,392
"2019-02",Bottled Water,2
"2019-02",Bridge Condition,39
"2019-02",Broken Parking Meter,1102
"2019-02",Building Marshals office,141
"2019-02",Building/Use,1886
"2019-02",Bus Stop Shelter Complaint,64
"2019-02",Bus Stop Shelter Placement,16
"2019-02",Calorie Labeling,1
"2019-02",Case Management Agency Complaint,2
"2019-02",Collection Truck Noise,19
"2019-02",Construction Safety Enforcement,569
"2019-02",Consumer Complaint,1026
"2019-02",Cooling Tower,3
"2019-02",Cranes and Derricks,17
"2019-02",Curb Condition,403
"2019-02",Damaged Tree,1153
"2019-02",Day Care,45
"2019-02",DCA / DOH New License Application Request,98
"2019-02",Dead/Dying Tree,243
"2019-02",Derelict Bicycle,171
"2019-02",Derelict Vehicle,2955
"2019-02",Derelict Vehicles,2600
"2019-02",Dirty Conditions,2493
"2019-02",Disorderly Youth,4
"2019-02",DOF Parking - DMV Clearance,13
"2019-02",DOF Parking - Payment Issue,400
"2019-02",DOF Parking - Request Copy,65
"2019-02",DOF Parking - Request Status,35
"2019-02",DOF Parking - Tax Exemption,51
"2019-02",DOF Property - Owner Issue,164
"2019-02",DOF Property - Payment Issue,589
"2019-02",DOF Property - Property Value,83
"2019-02",DOF Property - Reduction Issue,1240
"2019-02",DOF Property - Request Copy,739
"2019-02",DOF Property - RPIE Issue,24
"2019-02",DOF Property - Update Account,588
"2019-02",DOOR/WINDOW,3228
"2019-02",DPR Internal,84
"2019-02",DRIE,116
"2019-02",Drinking,53
"2019-02",Drinking Water,13
"2019-02",Drug Activity,113
"2019-02",Elder Abuse,28
"2019-02",ELECTRIC,2166
"2019-02",Electrical,270
"2019-02",Electronics Waste Appointment,2614
"2019-02",Elevator,1127
"2019-02",ELEVATOR,83
"2019-02",Emergency Response Team (ERT),422
"2019-02",Executive Inspections,15
"2019-02",Facades,63
"2019-02",FATF,4
"2019-02",Ferry Complaint,18
"2019-02",Ferry Inquiry,41
"2019-02",Ferry Permit,5
"2019-02",FLOORING/STAIRS,1922
"2019-02",Foam Ban Enforcement,5
"2019-02",Food Establishment,796
"2019-02",Food Poisoning,276
"2019-02",For Hire Vehicle Complaint,702
"2019-02",For Hire Vehicle Report,41
"2019-02",Found Property,15
"2019-02",General,3
"2019-02",GENERAL,2059
"2019-02",General Construction/Plumbing,3757
"2019-02",Graffiti,1627
"2019-02",Harboring Bees/Wasps,1
"2019-02",Hazardous Materials,187
"2019-02",HEAT/HOT WATER,28843
"2019-02",Highway Condition,324
"2019-02",Highway Sign - Damaged,8
"2019-02",Highway Sign - Dangling,3
"2019-02",Highway Sign - Missing,5
"2019-02",Home Care Provider Complaint,1
"2019-02",Home Delivered Meal - Missed Delivery,13
"2019-02",Home Delivered Meal Complaint,8
"2019-02",Homeless Encampment,131
"2019-02",Homeless Person Assistance,727
"2019-02",Housing - Low Income Senior,444
"2019-02",Housing Options,129
"2019-02",HPD Literature Request,259
"2019-02",Illegal Fireworks,1
"2019-02",Illegal Parking,12253
"2019-02",Illegal Tree Damage,139
"2019-02",Indoor Air Quality,389
"2019-02",Indoor Sewage,79
"2019-02",Industrial Waste,87
"2019-02",Investigations and Discipline (IAD),83
"2019-02",Lead,722
"2019-02",Lifeguard,1
"2019-02",LinkNYC,12
"2019-02",Literature Request,27
"2019-02",Litter Basket / Request,181
"2019-02",Maintenance or Facility,520
"2019-02",Miscellaneous Categories,2
"2019-02",Missed Collection (All Materials),2735
"2019-02",Mobile Food Vendor,63
"2019-02",Mold,46
"2019-02",Municipal Parking Facility,2
"2019-02",New Tree Request,800
"2019-02",Noise,5052
"2019-02",Noise - Commercial,2910
"2019-02",Noise - Helicopter,45
"2019-02",Noise - House of Worship,35
"2019-02",Noise - Park,64
"2019-02",Noise - Residential,14939
"2019-02",Noise - Street/Sidewalk,1930
"2019-02",Noise - Vehicle,1835
"2019-02",Non-Emergency Police Matter,650
"2019-02",Non-Residential Heat,169
"2019-02",OEM Literature Request,4
"2019-02",Other Enforcement,522
"2019-02",OUTSIDE BUILDING,82
"2019-02",Overflowing Litter Baskets,56
"2019-02",Overgrown Tree/Branches,361
"2019-02",PAINT/PLASTER,4823
"2019-02",Panhandling,13
"2019-02",Plant,2
"2019-02",Plumbing,504
"2019-02",PLUMBING,4784
"2019-02",Poison Ivy,1
"2019-02",Posting Advertisement,18
"2019-02",Public Payphone Complaint,42
"2019-02",Public Toilet,2
"2019-02",Quality of Life,31
"2019-02",Recycling Enforcement,64
"2019-02",Request Large Bulky Item Collection,13125
"2019-02",Rodent,1869
"2019-02",Root/Sewer/Sidewalk Condition,444
"2019-02",Safety,2
"2019-02",SAFETY,890
"2019-02",Sanitation Condition,2610
"2019-02",Scaffold Safety,21
"2019-02",School Maintenance,108
"2019-02",SCRIE,440
"2019-02",Senior Center Complaint,21
"2019-02",Sewer,1996
"2019-02",Sidewalk Condition,1770
"2019-02",Smoking,237
"2019-02",Snow,283
"2019-02",Special Natural Area District (SNAD),1
"2019-02",Special Operations,50
"2019-02",Special Projects Inspection Team (SPIT),303
"2019-02",Squeegee,1
"2019-02",SRDE,1
"2019-02",Street Condition,6867
"2019-02",Street Light Condition,4801
"2019-02",Street Sign - Damaged,531
"2019-02",Street Sign - Dangling,321
"2019-02",Street Sign - Missing,541
"2019-02",Sustainability Enforcement,201
"2019-02",Sweeping/Inadequate,15
"2019-02",Sweeping/Missed,23
"2019-02",Tattooing,8
"2019-02",Taxi Complaint,720
"2019-02",Taxi Compliment,21
"2019-02",Taxi Report,111
"2019-02",Taxpayer Advocate Inquiry,10
"2019-02",Traffic,264
"2019-02",Traffic Signal Condition,3309
"2019-02",Unsanitary Animal Pvt Property,99
"2019-02",Unsanitary Condition,6
"2019-02",UNSANITARY CONDITION,6025
"2019-02",Unsanitary Pigeon Condition,26
"2019-02",Urinating in Public,24
"2019-02",Vacant Lot,88
"2019-02",Vending,178
"2019-02",Violation of Park Rules,73
"2019-02",Water Conservation,497
"2019-02",WATER LEAK,2902
"2019-02",Water Quality,127
"2019-02",Water System,4689
"2019-02",Window Guard,3
"2019-03",Abandoned Vehicle,1
"2019-03",Adopt-A-Basket,4
"2019-03",Advocate-Business Tax,2
"2019-03",Advocate-Co-opCondo Abatement,2
"2019-03",Advocate-Commercial Exemptions,2
"2019-03",Advocate-Personal Exemptions,14
"2019-03",Advocate-Prop Refunds/Credits,25
"2019-03",Advocate - Other,8
"2019-03",Air Quality,642
"2019-03",Alzheimer's Care,17
"2019-03",Animal Abuse,636
"2019-03",Animal in a Park,211
"2019-03",APPLIANCE,1042
"2019-03",Asbestos,166
"2019-03",Beach/Pool/Sauna Complaint,16
"2019-03",Benefit Card Replacement,864
"2019-03",BEST/Site Safety,179
"2019-03",Bike Rack Condition,6
"2019-03",Bike/Roller/Skate Chronic,39
"2019-03",Blocked Driveway,11582
"2019-03",Boilers,231
"2019-03",Borough Office,590
"2019-03",Bridge Condition,43
"2019-03",Broken Parking Meter,1158
"2019-03",Building Marshals office,148
"2019-03",Building/Use,2215
"2019-03",Bus Stop Shelter Complaint,124
"2019-03",Bus Stop Shelter Placement,14
"2019-03",Calorie Labeling,1
"2019-03",Case Management Agency Complaint,5
"2019-03",Collection Truck Noise,23
"2019-03",Construction Safety Enforcement,1193
"2019-03",Consumer Complaint,1228
"2019-03",Cooling Tower,1
"2019-03",Cranes and Derricks,19
"2019-03",Curb Condition,508
"2019-03",Damaged Tree,1075
"2019-03",Day Care,60
"2019-03",DCA / DOH New License Application Request,109
"2019-03",Dead/Dying Tree,321
"2019-03",Derelict Bicycle,226
"2019-03",Derelict Vehicle,3366
"2019-03",Derelict Vehicles,3140
"2019-03",Dirty Conditions,2940
"2019-03",Disorderly Youth,8
"2019-03",DOF Parking - DMV Clearance,17
"2019-03",DOF Parking - Payment Issue,373
"2019-03",DOF Parking - Request Copy,64
"2019-03",DOF Parking - Request Status,52
"2019-03",DOF Parking - Tax Exemption,43
"2019-03",DOF Property - Owner Issue,194
"2019-03",DOF Property - Payment Issue,658
"2019-03",DOF Property - Property Value,90
"2019-03",DOF Property - Reduction Issue,1281
"2019-03",DOF Property - Request Copy,1073
"2019-03",DOF Property - RPIE Issue,49
"2019-03",DOF Property - Update Account,484
"2019-03",DOOR/WINDOW,3051
"2019-03",DPR Internal,107
"2019-03",DRIE,166
"2019-03",Drinking,81
"2019-03",Drinking Water,16
"2019-03",Drug Activity,134
"2019-03",Elder Abuse,28
"2019-03",ELECTRIC,1972
"2019-03",Electrical,237
"2019-03",Electronics Waste,1
"2019-03",Electronics Waste Appointment,3058
"2019-03",Elevator,1173
"2019-03",ELEVATOR,144
"2019-03",Emergency Response Team (ERT),394
"2019-03",Executive Inspections,25
"2019-03",Facades,61
"2019-03",FATF,13
"2019-03",Ferry Complaint,19
"2019-03",Ferry Inquiry,41
"2019-03",Ferry Permit,8
"2019-03",FLOORING/STAIRS,2006
"2019-03",Foam Ban Enforcement,5
"2019-03",Food Establishment,893
"2019-03",Food Poisoning,257
"2019-03",For Hire Vehicle Complaint,1070
"2019-03",For Hire Vehicle Report,40
"2019-03",Found Property,14
"2019-03",General,5
"2019-03",GENERAL,1992
"2019-03",General Construction/Plumbing,4162
"2019-03",Graffiti,1766
"2019-03",Harboring Bees/Wasps,2
"2019-03",Hazardous Materials,222
"2019-03",HEAT/HOT WATER,23182
"2019-03",Highway Condition,402
"2019-03",Highway Sign - Damaged,6
"2019-03",Highway Sign - Dangling,2
"2019-03",Highway Sign - Missing,5
"2019-03",Home Care Provider Complaint,5
"2019-03",Home Delivered Meal - Missed Delivery,13
"2019-03",Home Delivered Meal Complaint,6
"2019-03",Homeless Encampment,223
"2019-03",Homeless Person Assistance,728
"2019-03",Housing - Low Income Senior,480
"2019-03",Housing Options,135
"2019-03",HPD Literature Request,242
"2019-03",Illegal Fireworks,3
"2019-03",Illegal Parking,15283
"2019-03",Illegal Tree Damage,191
"2019-03",Indoor Air Quality,434
"2019-03",Indoor Sewage,93
"2019-03",Industrial Waste,93
"2019-03",Investigations and Discipline (IAD),150
"2019-03",Lead,922
"2019-03",LinkNYC,12
"2019-03",Literature Request,33
"2019-03",Litter Basket / Request,206
"2019-03",Maintenance or Facility,690
"2019-03",Miscellaneous Categories,42
"2019-03",Missed Collection (All Materials),2815
"2019-03",Mobile Food Vendor,105
"2019-03",Mold,27
"2019-03",Municipal Parking Facility,4
"2019-03",New Tree Request,974
"2019-03",Noise,5628
"2019-03",Noise - Commercial,3704
"2019-03",Noise - Helicopter,96
"2019-03",Noise - House of Worship,68
"2019-03",Noise - Park,113
"2019-03",Noise - Residential,17987
"2019-03",Noise - Street/Sidewalk,3146
"2019-03",Noise - Vehicle,2778
"2019-03",Non-Emergency Police Matter,751
"2019-03",Non-Residential Heat,61
"2019-03",OEM Literature Request,4
"2019-03",Other Enforcement,587
"2019-03",OUTSIDE BUILDING,88
"2019-03",Overflowing Litter Baskets,51
"2019-03",Overflowing Recycling Baskets,1
"2019-03",Overgrown Tree/Branches,416
"2019-03",PAINT/PLASTER,4668
"2019-03",Panhandling,39
"2019-03",Plant,7
"2019-03",Plumbing,928
"2019-03",PLUMBING,4070
"2019-03",Poison Ivy,1
"2019-03",Posting Advertisement,9
"2019-03",Public Payphone Complaint,39
"2019-03",Public Toilet,1
"2019-03",Quality of Life,45
"2019-03",Radioactive Material,2
"2019-03",Recycling Enforcement,53
"2019-03",Request Large Bulky Item Collection,16479
"2019-03",Rodent,2395
"2019-03",Root/Sewer/Sidewalk Condition,714
"2019-03",SAFETY,906
"2019-03",Sanitation Condition,3040
"2019-03",Scaffold Safety,14
"2019-03",School Maintenance,158
"2019-03",SCRIE,505
"2019-03",Senior Center Complaint,19
"2019-03",Sewer,2414
"2019-03",Sidewalk Condition,2302
"2019-03",Smoking,235
"2019-03",Snow,802
"2019-03",Special Natural Area District (SNAD),8
"2019-03",Special Operations,63
"2019-03",Special Projects Inspection Team (SPIT),416
"2019-03",Street Condition,10354
"2019-03",Street Light Condition,4368
"2019-03",Street Sign - Damaged,601
"2019-03",Street Sign - Dangling,299
"2019-03",Street Sign - Missing,577
"2019-03",Sustainability Enforcement,129
"2019-03",Sweeping/Inadequate,21
"2019-03",Sweeping/Missed,51
"2019-03",Tattooing,4
"2019-03",Taxi Complaint,813
"2019-03",Taxi Compliment,21
"2019-03",Taxi Report,134
"2019-03",Taxpayer Advocate Inquiry,11
"2019-03",Traffic,327
"2019-03",Traffic Signal Condition,3626
"2019-03",Unsanitary Animal Pvt Property,161
"2019-03",Unsanitary Condition,18
"2019-03",UNSANITARY CONDITION,5906
"2019-03",Unsanitary Pigeon Condition,45
"2019-03",Urinating in Public,33
"2019-03",Vacant Lot,98
"2019-03",Vending,220
"2019-03",Violation of Park Rules,131
"2019-03",Water Conservation,298
"2019-03",WATER LEAK,2598
"2019-03",Water Quality,108
"2019-03",Water System,3774
"2019-03",Window Guard,1
"2019-03",X-Ray Machine/Equipment,1
"2019-04",Adopt-A-Basket,5
"2019-04",Advocate-Co-opCondo Abatement,2
"2019-04",Advocate-Personal Exemptions,10
"2019-04",Advocate-Prop Class Incorrect,1
"2019-04",Advocate-Prop Refunds/Credits,35
"2019-04",Advocate-Property Value,1
"2019-04",Advocate-SCRIE/DRIE,1
"2019-04",Advocate - Lien,1
"2019-04",Advocate - Other,13
"2019-04",Advocate - RPIE,1
"2019-04",Air Quality,844
"2019-04",Alzheimer's Care,8
"2019-04",Animal Abuse,642
"2019-04",Animal in a Park,235
"2019-04",APPLIANCE,904
"2019-04",Asbestos,213
"2019-04",Beach/Pool/Sauna Complaint,27
"2019-04",Benefit Card Replacement,813
"2019-04",Bereavement Support Group,1
"2019-04",BEST/Site Safety,171
"2019-04",Bike Rack Condition,11
"2019-04",Bike/Roller/Skate Chronic,52
"2019-04",Blocked Driveway,10360
"2019-04",Boilers,313
"2019-04",Borough Office,1179
"2019-04",Bridge Condition,31
"2019-04",Broken Parking Meter,1100
"2019-04",Building Condition,1
"2019-04",Building Marshals office,234
"2019-04",Building/Use,2275
"2019-04",Bus Stop Shelter Complaint,45
"2019-04",Bus Stop Shelter Placement,17
"2019-04",Case Management Agency Complaint,4
"2019-04",Collection Truck Noise,12
"2019-04",Construction Safety Enforcement,3175
"2019-04",Consumer Complaint,1223
"2019-04",Cooling Tower,5
"2019-04",Cranes and Derricks,30
"2019-04",Curb Condition,656
"2019-04",Damaged Tree,1297
"2019-04",Day Care,44
"2019-04",DCA / DOH New License Application Request,123
"2019-04",Dead/Dying Tree,640
"2019-04",Derelict Bicycle,237
"2019-04",Derelict Vehicle,3430
"2019-04",Derelict Vehicles,3271
"2019-04",Dirty Conditions,2889
"2019-04",Disorderly Youth,10
"2019-04",DOF Parking - DMV Clearance,4
"2019-04",DOF Parking - Payment Issue,273
"2019-04",DOF Parking - Request Copy,51
"2019-04",DOF Parking - Request Status,43
"2019-04",DOF Parking - Tax Exemption,36
"2019-04",DOF Property - Owner Issue,174
"2019-04",DOF Property - Payment Issue,591
"2019-04",DOF Property - Property Value,69
"2019-04",DOF Property - Reduction Issue,1014
"2019-04",DOF Property - Request Copy,587
"2019-04",DOF Property - RPIE Issue,57
"2019-04",DOF Property - Update Account,384
"2019-04",DOOR/WINDOW,2801
"2019-04",DPR Internal,140
"2019-04",DRIE,155
"2019-04",Drinking,106
"2019-04",Drinking Water,3
"2019-04",Drug Activity,142
"2019-04",Elder Abuse,31
"2019-04",ELECTRIC,1723
"2019-04",Electrical,295
"2019-04",Electronics Waste Appointment,3177
"2019-04",Elevator,1163
"2019-04",ELEVATOR,100
"2019-04",Emergency Response Team (ERT),394
"2019-04",Executive Inspections,32
"2019-04",Facades,40
"2019-04",FATF,12
"2019-04",Ferry Complaint,22
"2019-04",Ferry Inquiry,36
"2019-04",Ferry Permit,2
"2019-04",FLOORING/STAIRS,2044
"2019-04",Foam Ban Enforcement,10
"2019-04",Food Establishment,880
"2019-04",Food Poisoning,231
"2019-04",For Hire Vehicle Complaint,955
"2019-04",For Hire Vehicle Report,37
"2019-04",Forensic Engineering,2
"2019-04",Found Property,19
"2019-04",General,12
"2019-04",GENERAL,1917
"2019-04",General Construction/Plumbing,4621
"2019-04",Graffiti,1865
"2019-04",Harboring Bees/Wasps,6
"2019-04",Hazardous Materials,149
"2019-04",HEAT/HOT WATER,12428
"2019-04",Highway Condition,281
"2019-04",Highway Sign - Damaged,10
"2019-04",Highway Sign - Dangling,3
"2019-04",Highway Sign - Missing,4
"2019-04",Home Care Provider Complaint,2
"2019-04",Home Delivered Meal - Missed Delivery,3
"2019-04",Home Delivered Meal Complaint,4
"2019-04",Homeless Encampment,292
"2019-04",Homeless Person Assistance,1393
"2019-04",Housing - Low Income Senior,486
"2019-04",Housing Options,153
"2019-04",HPD Literature Request,231
"2019-04",Illegal Fireworks,3
"2019-04",Illegal Parking,15180
"2019-04",Illegal Tree Damage,295
"2019-04",Indoor Air Quality,372
"2019-04",Indoor Sewage,95
"2019-04",Industrial Waste,108
"2019-04",Investigations and Discipline (IAD),147
"2019-04",Lead,751
"2019-04",Lifeguard,2
"2019-04",LinkNYC,14
"2019-04",Literature Request,24
"2019-04",Litter Basket / Request,250
"2019-04",Maintenance or Facility,1130
"2019-04",Miscellaneous Categories,23
"2019-04",Missed Collection (All Materials),3479
"2019-04",Mobile Food Vendor,160
"2019-04",Mold,32
"2019-04",Mosquitoes,19
"2019-04",Municipal Parking Facility,4
"2019-04",New Tree Request,1565
"2019-04",Noise,5766
"2019-04",Noise - Commercial,3681
"2019-04",Noise - Helicopter,128
"2019-04",Noise - House of Worship,74
"2019-04",Noise - Park,296
"2019-04",Noise - Residential,19114
"2019-04",Noise - Street/Sidewalk,6138
"2019-04",Noise - Vehicle,3839
"2019-04",Non-Emergency Police Matter,748
"2019-04",Non-Residential Heat,22
"2019-04",OEM Literature Request,9
"2019-04",Other Enforcement,610
"2019-04",OUTSIDE BUILDING,69
"2019-04",Overflowing Litter Baskets,78
"2019-04",Overflowing Recycling Baskets,1
"2019-04",Overgrown Tree/Branches,701
"2019-04",PAINT/PLASTER,4596
"2019-04",Panhandling,48
"2019-04",Plant,12
"2019-04",Plumbing,467
"2019-04",PLUMBING,3871
"2019-04",Poison Ivy,5
"2019-04",Posting Advertisement,10
"2019-04",Public Payphone Complaint,27
"2019-04",Public Toilet,2
"2019-04",Quality of Life,32
"2019-04",Radioactive Material,3
"2019-04",Recycling Enforcement,50
"2019-04",Request Large Bulky Item Collection,17566
"2019-04",Rodent,2800
"2019-04",Root/Sewer/Sidewalk Condition,765
"2019-04",Safety,3
"2019-04",SAFETY,845
"2019-04",Sanitation Condition,3479
"2019-04",Scaffold Safety,34
"2019-04",School Maintenance,109
"2019-04",SCRIE,570
"2019-04",Senior Center Complaint,27
"2019-04",Sewer,2668
"2019-04",Sidewalk Condition,2857
"2019-04",Smoking,168
"2019-04",Special Natural Area District (SNAD),13
"2019-04",Special Operations,54
"2019-04",Special Projects Inspection Team (SPIT),391
"2019-04",Standing Water,181
"2019-04",Street Condition,8611
"2019-04",Street Light Condition,4111
"2019-04",Street Sign - Damaged,613
"2019-04",Street Sign - Dangling,247
"2019-04",Street Sign - Missing,461
"2019-04",Sustainability Enforcement,138
"2019-04",Sweeping/Inadequate,22
"2019-04",Sweeping/Missed,46
"2019-04",Tanning,1
"2019-04",Tattooing,7
"2019-04",Taxi Complaint,771
"2019-04",Taxi Compliment,25
"2019-04",Taxi Licensee Complaint,1
"2019-04",Taxi Report,124
"2019-04",Taxpayer Advocate Inquiry,11
"2019-04",Traffic,355
"2019-04",Traffic Signal Condition,3441
"2019-04",Transportation Provider Complaint,1
"2019-04",Unsanitary Animal Pvt Property,199
"2019-04",Unsanitary Condition,65
"2019-04",UNSANITARY CONDITION,6013
"2019-04",Unsanitary Pigeon Condition,39
"2019-04",Urinating in Public,50
"2019-04",Vacant Lot,119
"2019-04",Vending,409
